--------------------------------------------
number index.| raw value.| value.
--------------------------------------------
0            | 12924     |  1,29e+04
1            | 248       |  2,48e+02
2            | 4847      |  4,85e+03
3            | 886       |  8,86e+02
4            | 33745     |  3,37e+04
5            | 778       |  7,78e+02
6            | 3039      |  3,04e+03
7            | 99811     |  9,98e+04
8            | 6723      |  6,72e+03
9            | -133      | -1,33e+02
10           | 963       |  9,63e+02
11           | 223       |  2,23e+02
12           | 1         |  1,00e+00
13           | 312312    |  3,12e+05
14           | 321312    |  3,21e+05
15           | 23        |  2,30e+01
--------------------------------------------
